d_bathrobes,d_bathtub,d_bidet,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_dining_table,d_dishwasher,d_elevator,d_fire_extinguisher,d_first_aid_kit,d_hair_dryer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_housekeeping,d_indoor_fireplace,d_iron,d_keypad,d_pets_allowed,d_pool,d_self_checkin,d_smart_lock,d_smoke_alarm,d_smoking_allowed,d_wifi,d_tv,d_air_conditioning,d_washer,d_sound_system,d_stove_or_oven,d_dryer,d_workspace,d_refrigerator,d_free_parking,d_kid_friendly,d_heating,d_bedroom_essentials,d_kitchenware,d_entertainment,d_clothing_storage,d_toiletries,d_fitness_centre,d_garden_backyard_balcony_agg,d_kitchen,d_safe_box,d_essentials,f_property_type,f_neighbourhood_cleansed,euro_price_day,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_bedrooms,n_minimum_nights,n_beds,n_reviews_per_month,price,id,neighbourhood_cleansed,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_bedrooms,ln_number_of_reviews,f_bedroom,f_bathroom,f_number_of_reviews,f_minimum_nights,flag_review_scores_rating,flag_reviews_per_month,flag_n_number_of_reviews
0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,Entire apartment,Helmholtzplatz,80,4,1,96,76,2,60,3,0.61,80,29279,Helmholtzplatz,Entire apartment,4.382026634673881,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,0.6931471805599453,4.343805421853684,2,2,3,3,0,0,0
0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,Entire apartment,Moabit Ost,77,4,1,90,212,1,3,2,1.68,77,33043,Moabit Ost,Entire apartment,4.343805421853684,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0,5.3612921657094255,1,2,3,3,0,0,0
0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,Entire apartment,Prenzlauer Berg Süd,94,2,1,89,106,1,84,1,0.85,94,38074,Prenzlauer Berg Süd,Entire apartment,4.543294782270004,4,0.6931471805599453,0.4804530139182014,0,0,4.672828834461906,1,2,3,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Entire apartment,Schillerpromenade,80,2,1,87,6,1,10,2,0.05,80,38296,Schillerpromenade,Entire apartment,4.382026634673881,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,0,1.9459101490553132,1,2,2,3,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,Entire apartment,Frankfurter Allee Süd FK,140,4,1,98,162,2,4,2,1.34,140,42809,Frankfurter Allee Süd FK,Entire apartment,4.941642422609304,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0.6931471805599453,5.093750200806762,2,2,3,3,0,0,0
0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,Entire apartment,Prenzlauer Berg Südwest,169,6,2,100,40,2,5,3,0.32,169,47938,Prenzlauer Berg Südwest,Entire apartment,5.1298987149230735,36,1.791759469228055,3.210401995568401,1.0986122886681098,0.6931471805599453,3.713572066704308,2,3,2,3,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,Entire apartment,Neue Kantstraße,58,2,1,96,15,1,60,2,0.16,58,55853,Neue Kantstraße,Entire apartment,4.060443010546419,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,0,2.772588722239781,1,2,2,3,0,0,0
0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,Entire apartment,Prenzlauer Berg Nordwest,230,4,2,98,93,2,3,3,0.76,230,57049,Prenzlauer Berg Nordwest,Entire apartment,5.438079308923196,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,0.6931471805599453,4.543294782270004,2,3,3,3,0,0,0
0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,Entire apartment,Brunnenstr. Süd,81,5,1,92,216,2,2,4,1.78,81,57209,Brunnenstr. Süd,Entire apartment,4.394449154672439,25,1.6094379124341003,2.5902903939802346,1.3862943611198906,0.6931471805599453,5.37989735354046,2,2,3,2,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,Entire apartment,Prenzlauer Berg Süd,160,4,1.5,96,45,3,5,3,0.4,160,58780,Prenzlauer Berg Süd,Entire apartment,5.075173815233827,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,1.0986122886681098,3.828641396489095,3,2,2,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Entire apartment,südliche Luisenstadt,85,2,1,91,21,1,5,1,0.17,85,62613,südliche Luisenstadt,Entire apartment,4.442651256490317,4,0.6931471805599453,0.4804530139182014,0,0,3.091042453358316,1,2,2,3,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Entire apartment,Prenzlauer Berg Nordwest,154,4,2,91,11,2,2,3,0.1,154,64014,Prenzlauer Berg Nordwest,Entire apartment,5.0369526024136295,16,1.3862943611198906,1.9218120556728056,1.0986122886681098,0.6931471805599453,2.4849066497880004,2,3,2,2,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,Entire apartment,südliche Luisenstadt,118,4,1,100,45,2,2,2,0.4,118,64590,südliche Luisenstadt,Entire apartment,4.770684624465665,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0.6931471805599453,3.828641396489095,2,2,2,2,0,0,0
